WD13CD;WD13CDO;WD13NM
E05009288;00AAGC;Aldersgate
E05009289;00AAGD;Aldgate
E05009290;00AAGE;Bassishaw
E05009291;00AAGF;Billingsgate
E05009292;00AAGG;Bishopsgate
E05009293;00AAGH;Bread Street
E05009294;00AAGJ;Bridge
E05009295;00AAGK;Broad Street
E05009296;00AAGL;Candlewick
E05009297;00AAGM;Castle Baynard
E05009298;00AAGN;Cheap
E05009299;00AAGP;Coleman Street
E05009300;00AAGQ;Cordwainer
E05009301;00AAGR;Cornhill
E05009302;00AAGS;Cripplegate
E05009303;00AAGT;Dowgate
E05009304;00AAGU;Farringdon Within
E05009305;00AAGW;Farringdon Without
E05009306;00AAGX;Langbourn
E05009307;00AAGY;Lime Street
E05009308;00AAGZ;Portsoken
E05009309;00AAHA;Queenhithe
E05009310;00AAHB;Tower
E05009311;00AAHC;Vintry
E05009312;00AAHD;Walbrook
E05000026;00ABFX;Abbey
E05000027;00ABFY;Alibon
E05000028;00ABFZ;Becontree
E05000029;00ABGA;Chadwell Heath
E05000030;00ABGB;Eastbrook
E05000031;00ABGC;Eastbury
E05000032;00ABGD;Gascoigne
E05000033;00ABGE;Goresbrook
E05000034;00ABGF;Heath
E05000035;00ABGG;Longbridge
E05000036;00ABGH;Mayesbrook
E05000037;00ABGJ;Parsloes
E05000038;00ABGK;River
E05000039;00ABGL;Thames
E05000040;00ABGM;Valence
E05000041;00ABGN;Village
E05000042;00ABGP;Whalebone
E05000043;00ACFX;Brunswick Park
E05000044;00ACFY;Burnt Oak
E05000045;00ACFZ;Childs Hill
E05000046;00ACGA;Colindale
E05000047;00ACGB;Coppetts
E05000048;00ACGC;East Barnet
E05000049;00ACGD;East Finchley
E05000050;00ACGE;Edgware
E05000051;00ACGF;Finchley Church End
E05000052;00ACGG;Garden Suburb
E05000053;00ACGH;Golders Green
E05000054;00ACGJ;Hale
E05000055;00ACGK;Hendon
E05000056;00ACGL;High Barnet
E05000057;00ACGM;Mill Hill
E05000058;00ACGN;Oakleigh
E05000059;00ACGP;Totteridge
E05000060;00ACGQ;Underhill
E05000061;00ACGR;West Finchley
E05000062;00ACGS;West Hendon
E05000063;00ACGT;Woodhouse
E05000064;00ADGA;Barnehurst
E05000065;00ADGB;Belvedere
E05000066;00ADGC;Blackfen and Lamorbey
E05000067;00ADGD;Blendon and Penhill
E05000068;00ADGE;Brampton
E05000069;00ADGF;Christchurch
E05000070;00ADGG;Colyers
E05000071;00ADGH;Crayford
E05000072;00ADGJ;Cray Meadows
E05000073;00ADGK;Danson Park
E05000074;00ADGL;East Wickham
E05000075;00ADGM;Erith
E05000076;00ADGN;Falconwood and Welling
E05000077;00ADGP;Lesnes Abbey
E05000078;00ADGQ;Longlands
E05000079;00ADGR;North End
E05000080;00ADGS;Northumberland Heath
E05000081;00ADGT;St Mary's
E05000082;00ADGU;St Michael's
E05000083;00ADGW;Sidcup
E05000084;00ADGX;Thamesmead East
E05000085;00AEGJ;Alperton
E05000086;00AEGK;Barnhill
E05000087;00AEGL;Brondesbury Park
E05000088;00AEGM;Dollis Hill
E05000089;00AEGN;Dudden Hill
E05000090;00AEGP;Fryent
E05000091;00AEGQ;Harlesden
E05000092;00AEGR;Kensal Green
E05000093;00AEGS;Kenton
E05000094;00AEGT;Kilburn
E05000095;00AEGU;Mapesbury
E05000096;00AEGW;Northwick Park
E05000097;00AEGX;Preston
E05000098;00AEGY;Queens Park
E05000099;00AEGZ;Queensbury
E05000100;00AEHA;Stonebridge
E05000101;00AEHB;Sudbury
E05000102;00AEHC;Tokyngton
E05000103;00AEHD;Welsh Harp
E05000104;00AEHE;Wembley Central
E05000105;00AEHF;Willesden Green
E05000106;00AFGD;Bickley
E05000107;00AFGE;Biggin Hill
E05000108;00AFGF;Bromley Common and Keston
E05000109;00AFGG;Bromley Town
E05000110;00AFGH;Chelsfield and Pratts Bottom
E05000111;00AFGJ;Chislehurst
E05000112;00AFGK;Clock House
E05000113;00AFGL;Copers Cope
E05000114;00AFGM;Cray Valley East
E05000115;00AFGN;Cray Valley West
E05000116;00AFGP;Crystal Palace
E05000117;00AFGQ;Darwin
E05000118;00AFGR;Farnborough and Crofton
E05000119;00AFGS;Hayes and Coney Hall
E05000120;00AFGT;Kelsey and Eden Park
E05000121;00AFGU;Mottingham and Chislehurst North
E05000122;00AFGW;Orpington
E05000123;00AFGX;Penge and Cator
E05000124;00AFGY;Petts Wood and Knoll
E05000125;00AFGZ;Plaistow and Sundridge
E05000126;00AFHA;Shortlands
E05000127;00AFHB;West Wickham
E05000128;00AGGD;Belsize
E05000129;00AGGE;Bloomsbury
E05000130;00AGGF;Camden Town with Primrose Hill
E05000131;00AGGG;Cantelowes
E05000132;00AGGH;Fortune Green
E05000133;00AGGJ;Frognal and Fitzjohns
E05000134;00AGGK;Gospel Oak
E05000135;00AGGL;Hampstead Town
E05000136;00AGGM;Haverstock
E05000137;00AGGN;Highgate
E05000138;00AGGP;Holborn and Covent Garden
E05000139;00AGGQ;Kentish Town
E05000140;00AGGR;Kilburn
E05000141;00AGGS;King's Cross
E05000142;00AGGT;Regent's Park
E05000143;00AGGU;St Pancras and Somers Town
